Date,Open,High,Low,Close,Volume
03/29/2001,55.38,57.19,54.56,55.38,43493900
03/30/2001,55.75,56.19,53.88,54.69,45601200
04/02/2001,54.81,56.94,54.63,55.81,37963100
04/03/2001,55.31,55.31,52.75,53.38,47095900
04/04/2001,53.38,55.00,51.06,51.94,52025200
04/05/2001,53.75,57.38,53.50,56.75,56683100
04/06/2001,56.38,57.19,55.06,56.19,46311600
04/09/2001,56.57,57.42,55.66,57.15,28147800
04/10/2001,57.95,60.09,57.78,59.68,54599700
04/11/2001,60.65,61.50,59.70,60.04,54939800
04/12/2001,59.56,62.31,59.35,62.18,43760000
04/16/2001,61.40,61.58,60.12,60.79,32928700
04/17/2001,60.52,62.11,60.04,61.48,42574600
04/18/2001,63.39,66.31,63.00,65.43,78348200
04/19/2001,65.81,69.00,65.75,68.04,79687800
04/20/2001,70.30,71.10,68.50,69.00,96459800
04/23/2001,68.11,68.47,66.90,68.25,46085600
04/24/2001,68.20,69.93,67.14,67.55,44588300
04/25/2001,67.57,69.79,67.25,69.69,38372000
04/26/2001,70.07,71.00,68.25,69.13,59368800
04/27/2001,69.53,69.68,66.21,67.12,60786200
04/30/2001,68.53,69.06,67.68,67.75,37184100
05/01/2001,67.66,70.30,67.60,70.17,41851400
05/02/2001,71.00,71.15,69.35,69.76,46432200
05/03/2001,69.25,70.18,68.14,68.53,33136700
05/04/2001,68.00,71.05,67.96,70.75,59769200
05/07/2001,70.83,72.15,70.70,71.38,54678100
05/08/2001,71.75,72.10,70.75,72.06,37542000
05/09/2001,71.24,71.30,69.86,70.40,38338300
05/10/2001,71.13,71.24,69.96,70.00,32167300
05/11/2001,69.96,70.00,68.65,69.40,25564400
05/14/2001,69.13,69.20,68.30,68.72,22484000
05/15/2001,68.74,69.30,68.00,68.27,30692800
05/16/2001,67.70,69.88,67.33,69.16,45946900
05/17/2001,69.10,70.14,67.55,68.17,53492400
05/18/2001,67.69,69.20,67.25,68.09,45302700
05/21/2001,68.05,69.99,67.75,68.79,51745800
05/22/2001,69.45,70.35,69.18,70.31,41727800
05/23/2001,70.39,71.60,69.51,69.70,46818700
05/24/2001,69.94,71.78,69.27,71.72,40390800
05/25/2001,71.66,71.90,70.36,70.91,26373800
05/29/2001,70.80,71.75,70.05,70.34,35605400
05/30/2001,69.56,70.58,68.65,69.19,43250900
05/31/2001,69.49,70.38,68.40,69.18,35341300
